slug,title,artifactId,matchedSystem,matchedGame,relativePath,approved,reviewerNote
ifdb-lidg5nx9ig0bwk55,Sorcerer,ifdb-lidg5nx9ig0bwk55-cover-art,atari2600,sorcerer,atari2600/sorcerer/boxart.png,,
ifdb-lidg5nx9ig0bwk55,Sorcerer,ifdb-lidg5nx9ig0bwk55-cover-art,amstradcpc,sorcerer,amstradcpc/sorcerer/boxart.png,,
ifdb-p976o7x5ies9ltdh,Deadline,ifdb-p976o7x5ies9ltdh-cover-art,scummvm,deadline,scummvm/deadline/boxart.png,,
ifdb-p976o7x5ies9ltdh,Deadline,ifdb-p976o7x5ies9ltdh-cover-art,atari8bit,deadline,atari8bit/deadline/boxart.png,,
ifdb-p976o7x5ies9ltdh,Deadline,ifdb-p976o7x5ies9ltdh-cover-art,atari,deadline,atari/deadline/boxart.png,,
ifdb-p976o7x5ies9ltdh,Deadline,ifdb-p976o7x5ies9ltdh-cover-art,amstradcpc,deadline,amstradcpc/deadline/boxart.png,,
ifdb-t47hei9uq10xoar8,Suspended,ifdb-t47hei9uq10xoar8-cover-art,scummvm,suspended,scummvm/suspended/boxart.png,,
ifdb-t47hei9uq10xoar8,Suspended,ifdb-t47hei9uq10xoar8-cover-art,c64,suspended,c64/suspended/boxart.png,,
ifdb-t47hei9uq10xoar8,Suspended,ifdb-t47hei9uq10xoar8-cover-art,atari8bit,suspended,atari8bit/suspended/boxart.png,,
ifdb-t47hei9uq10xoar8,Suspended,ifdb-t47hei9uq10xoar8-cover-art,atari,suspended,atari/suspended/boxart.png,,
ifdb-t47hei9uq10xoar8,Suspended,ifdb-t47hei9uq10xoar8-cover-art,amstradcpc,suspended,amstradcpc/suspended/boxart.png,,
ifdb-t47hei9uq10xoar8,Suspended,ifdb-t47hei9uq10xoar8-cover-art,amiga,suspended,amiga/suspended/boxart.png,,
ifdb-tdbss1ekrp4ua7h4,Suspect,ifdb-tdbss1ekrp4ua7h4-cover-art,scummvm,suspect,scummvm/suspect/boxart.png,,
ifdb-tdbss1ekrp4ua7h4,Suspect,ifdb-tdbss1ekrp4ua7h4-cover-art,atari8bit,suspect,atari8bit/suspect/boxart.png,,
ifdb-tdbss1ekrp4ua7h4,Suspect,ifdb-tdbss1ekrp4ua7h4-cover-art,amstradcpc,suspect,amstradcpc/suspect/boxart.png,,
ifdb-tdbss1ekrp4ua7h4,Suspect,ifdb-tdbss1ekrp4ua7h4-cover-art,amiga,suspect,amiga/suspect/boxart.png,,
ifdb-vu4xhul3abknifcr,Enchanter,ifdb-vu4xhul3abknifcr-cover-art,scummvm,enchanter,scummvm/enchanter/boxart.png,,
ifdb-vu4xhul3abknifcr,Enchanter,ifdb-vu4xhul3abknifcr-cover-art,atari8bit,enchanter,atari8bit/enchanter/boxart.png,,
ifdb-w3pz3v8wckaw1wgb,Shogun,ifdb-w3pz3v8wckaw1wgb-cover-art,nes,shogun,nes/shogun/boxart.png,,
ifdb-w3pz3v8wckaw1wgb,Shogun,ifdb-w3pz3v8wckaw1wgb-cover-art,c64,shogun,c64/shogun/boxart.png,,
ifdb-w3pz3v8wckaw1wgb,Shogun,ifdb-w3pz3v8wckaw1wgb-cover-art,amstradcpc,shogun,amstradcpc/shogun/boxart.png,,
ifdb-wqsmrahzozosu3r,Spellbreaker,ifdb-wqsmrahzozosu3r-cover-art,scummvm,spellbreaker,scummvm/spellbreaker/boxart.png,,
ifdb-wqsmrahzozosu3r,Spellbreaker,ifdb-wqsmrahzozosu3r-cover-art,atari8bit,spellbreaker,atari8bit/spellbreaker/boxart.png,,
ifdb-wqsmrahzozosu3r,Spellbreaker,ifdb-wqsmrahzozosu3r-cover-art,atari,spellbreaker,atari/spellbreaker/boxart.png,,
ifdb-wqsmrahzozosu3r,Spellbreaker,ifdb-wqsmrahzozosu3r-cover-art,amstradcpc,spellbreaker,amstradcpc/spellbreaker/boxart.png,,
ifdb-xe6kb3cuqwie2q38,Planetfall,ifdb-xe6kb3cuqwie2q38-cover-art,zxspectrum,planetfall,zxspectrum/planetfall/boxart.png,,
ifdb-xe6kb3cuqwie2q38,Planetfall,ifdb-xe6kb3cuqwie2q38-cover-art,scummvm,planetfall,scummvm/planetfall/boxart.png,,
ifdb-xe6kb3cuqwie2q38,Planetfall,ifdb-xe6kb3cuqwie2q38-cover-art,atari8bit,planetfall,atari8bit/planetfall/boxart.png,,
ifdb-xe6kb3cuqwie2q38,Planetfall,ifdb-xe6kb3cuqwie2q38-cover-art,atari,planetfall,atari/planetfall/boxart.png,,
ifdb-xe6kb3cuqwie2q38,Planetfall,ifdb-xe6kb3cuqwie2q38-cover-art,amstradcpc,planetfall,amstradcpc/planetfall/boxart.png,,
ifdb-xe6kb3cuqwie2q38,Planetfall,ifdb-xe6kb3cuqwie2q38-cover-art,amiga,planetfall,amiga/planetfall/boxart.png,,
ifdb-y42oje3ryqi6lohn,Starcross,ifdb-y42oje3ryqi6lohn-cover-art,scummvm,starcross,scummvm/starcross/boxart.png,,
ifdb-y42oje3ryqi6lohn,Starcross,ifdb-y42oje3ryqi6lohn-cover-art,atari8bit,starcross,atari8bit/starcross/boxart.png,,
ifdb-y42oje3ryqi6lohn,Starcross,ifdb-y42oje3ryqi6lohn-cover-art,atari,starcross,atari/starcross/boxart.png,,
ifdb-y42oje3ryqi6lohn,Starcross,ifdb-y42oje3ryqi6lohn-cover-art,amiga,starcross,amiga/starcross/boxart.png,,
ifdb-z02joykzh66wfhcl,Wishbringer,ifdb-z02joykzh66wfhcl-cover-art,scummvm,wishbringer,scummvm/wishbringer/boxart.png,,
ifdb-z02joykzh66wfhcl,Wishbringer,ifdb-z02joykzh66wfhcl-cover-art,atari8bit,wishbringer,atari8bit/wishbringer/boxart.png,,
ifdb-z02joykzh66wfhcl,Wishbringer,ifdb-z02joykzh66wfhcl-cover-art,atari,wishbringer,atari/wishbringer/boxart.png,,
ifdb-z02joykzh66wfhcl,Wishbringer,ifdb-z02joykzh66wfhcl-cover-art,amstradcpc,wishbringer,amstradcpc/wishbringer/boxart.png,,
ifdb-zjyxds3s57pgis3x,Bureaucracy,ifdb-zjyxds3s57pgis3x-cover-art,scummvm,bureaucracy,scummvm/bureaucracy/boxart.png,,
ifdb-zjyxds3s57pgis3x,Bureaucracy,ifdb-zjyxds3s57pgis3x-cover-art,atari,bureaucracy,atari/bureaucracy/boxart.png,,
ifdb-zjyxds3s57pgis3x,Bureaucracy,ifdb-zjyxds3s57pgis3x-cover-art,amiga,bureaucracy,amiga/bureaucracy/boxart.png,,
ifdb-zoohwv5nqye7up2t,Arthur: The Quest for Excalibur,ifdb-zoohwv5nqye7up2t-cover-art,scummvm,arthur_ the quest for excalibur,scummvm/arthur_ the quest for excalibur/boxart.png,,
ifdb-zoohwv5nqye7up2t,Arthur: The Quest for Excalibur,ifdb-zoohwv5nqye7up2t-cover-art,amiga,arthur - the quest for excalibur,amiga/arthur - the quest for excalibur/boxart.png,,
ifdb-zxb8pq3qrkvdob4i,Nord and Bert Couldn't Make Head or Tail of It,ifdb-zxb8pq3qrkvdob4i-cover-art,scummvm,nord and bert couldn't make head or tail of it,scummvm/nord and bert couldn't make head or tail of it/boxart.png,,
ifdb-zxb8pq3qrkvdob4i,Nord and Bert Couldn't Make Head or Tail of It,ifdb-zxb8pq3qrkvdob4i-cover-art,amiga,nord and bert couldn't make head or tail of it,amiga/nord and bert couldn't make head or tail of it/boxart.png,,
